item_id,title,price,currency_id,condition,available_quantity,seller_id,seller_reputation,location,url
MLA1473750973,Auriculares Baseus Encok H06 3.5mm Cableado Color Negro,19990,ARS,new,1,284824585,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1473750973-auriculares-baseus-encok-h06-35mm-cableado-color-negro-_JM
MLA763101696,Auriculares LG 100% Original,6000,ARS,new,85,35758687,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-763101696-auriculares-lg-100-original-_JM
MLA1118569659,Auricular Compatible Con Igoodlo 3.5mm Mp3 Mp4 LG,1992,ARS,new,6,227130135,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1118569659-auricular-compatible-con-igoodlo-35mm-mp3-mp4-lg-_JM
MLA1126715007,Placa De Carga Para LG K61 (mic+auricular+pin) Carga Rápida,6690,ARS,new,9,773536762,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1126715007-placa-de-carga-para-lg-k61-micauricularpin-carga-rapida-_JM
MLA1141986502,Auricular In Ear 3.5mm Mp3 Compatible LG,1992,ARS,new,1,227130135,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1141986502-auricular-in-ear-35mm-mp3-compatible-lg-_JM
MLA1108145716,Auricular Compatible Con Igoodlo LG 3.5mm Mp3 Mp4 ,1992,ARS,new,26,227445377,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1108145716-auricular-compatible-con-igoodlo-lg-35mm-mp3-mp4-_JM
MLA1848642086,LG Tone Free True Wireless Bluetooth Fp9 Auriculares Con De Color Negro Color De La Luz No Aplica,290396,ARS,new,10,96243585,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1848642086-lg-tone-free-true-wireless-bluetooth-fp9-auriculares-con-de-color-negro-color-de-la-luz-no-aplica-_JM
MLA627632624,Dongle Bluetoth Transmisor Usb P/ Televisores LG Sony Samsung Smart Tv Auriculares En Tu Tv Sin Cables,13830,ARS,new,1989,167165651,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-627632624-dongle-bluetoth-transmisor-usb-p-televisores-lg-sony-samsung-smart-tv-auriculares-en-tu-tv-sin-cables-_JM
MLA1836987884,Auriculares Stereo Tipo C Premium Para Modelos LG,8990,ARS,new,4,1137959474,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1836987884-auriculares-stereo-tipo-c-premium-para-modelos-lg-_JM
MLA1438052019,Auricular Bluetooth Vincha Running Para Modelos LG,19790,ARS,new,6,433051783,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1438052019-auricular-bluetooth-vincha-running-para-modelos-lg-_JM
MLA1978195188,"Audífonos LG Tone-fp9 Inalámbricos, Con Cancelación De Ruido",136117.22,ARS,new,9,2153421531,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1978195188-audifonos-lg-tone-fp9-inalambricos-con-cancelacion-de-ruido-_JM
MLA1978122320,Auriculares LG Tone Free True Wireless Bluetooth Fp9 Con Fun,186701.45,ARS,new,20,2156249700,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1978122320-auriculares-lg-tone-free-true-wireless-bluetooth-fp9-con-fun-_JM
MLA1384456030,Auricular Manos Libres LG 3.5mm Ear Headset,22931,ARS,new,4,801935460,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1384456030-auricular-manos-libres-lg-35mm-ear-headset-_JM
MLA1880583598,Kit Limpieza Celular Auriculares Cámara Microcentro,7734.0,ARS,new,8,61210985,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1880583598-kit-limpieza-celular-auriculares-camara-microcentro-_JM
MLA1465967011,Lilgadgets Connect+ Auriculares Con Cable Para Niños Para La,80109.92,ARS,new,100,2153420129,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1465967011-lilgadgets-connect-auriculares-con-cable-para-ninos-para-la-_JM
MLA1978170858,"Auriculares LG Tono-fp5, Negro/bluetooth/microfonos",135521.92,ARS,new,10,2156221828,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1978170858-auriculares-lg-tono-fp5-negrobluetoothmicrofonos-_JM
MLA1118123003,Auricular Celular Compatible LG,1992,ARS,new,5,227130135,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1118123003-auricular-celular-compatible-lg-_JM
MLA1465965883,"Philmore Crystal Radio Auricular A Cable Pelado Y Estañado,",54196.11,ARS,new,98,2151936946,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1465965883-philmore-crystal-radio-auricular-a-cable-pelado-y-estanado-_JM
MLA1460795127,Audífonos LG Tone Flex Bluetooth Meridian Stereo Hbs-xl7 Azu Color Azul,805599,ARS,new,100,1344922108,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1460795127-audifonos-lg-tone-flex-bluetooth-meridian-stereo-hbs-xl7-azu-color-azul-_JM
MLA1438989517,Oem Urbanx Auriculares Estéreo Con Cable Motorola One 5g Ace,68901,ARS,new,10,96243585,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1438989517-oem-urbanx-auriculares-estereo-con-cable-motorola-one-5g-ace-_JM
MLA1979276560,"Almohadillas Klipsch Para Auriculares, Grande/transparente",82326.41,ARS,new,10,2156221828,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1979276560-almohadillas-klipsch-para-auriculares-grandetransparente-_JM
MLA1443813123,LG Tonefree Fp5 Audífonos Bluetooth Con Cancelación De Ruido,226499,ARS,new,10,96243585,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1443813123-lg-tonefree-fp5-audifonos-bluetooth-con-cancelacion-de-ruido-_JM
MLA1413047946,LG Tone Free True Wireless Bluetooth Earbuds Fp5 Cancelación,240699,ARS,new,101,568588035,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1413047946-lg-tone-free-true-wireless-bluetooth-earbuds-fp5-cancelacion-_JM
MLA1465731681,Audifonos Inalambricos Bluetooth Estéreo LG Tone Flex Hbs-,311573.78,ARS,new,10,2156221828,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1465731681-audifonos-inalambricos-bluetooth-estereo-lg-tone-flex-hbs--_JM
MLA1318922778,Auriculares Bluetooth Inalámbricos LG Hbs-fn6w True Negros,526719,ARS,new,4,161008662,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1318922778-auriculares-bluetooth-inalambricos-lg-hbs-fn6w-true-negros-_JM
MLA1379636109,LG Tone Flex Hbs-xl7 Auriculares Estereo Inalambricos Blue,678999,ARS,new,100,568588035,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1379636109-lg-tone-flex-hbs-xl7-auriculares-estereo-inalambricos-blue-_JM
MLA866518724,Adaptador De Auriculares Usb C A Jack 3.5 Mm Moto Xiaomi LG,14998.99,ARS,new,200,129647735,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-866518724-adaptador-de-auriculares-usb-c-a-jack-35-mm-moto-xiaomi-lg-_JM
MLA1619203908,Soporte De Auriculares Impreso En 3d - Los Gordos Pop,13200,ARS,new,300,1492399416,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1619203908-soporte-de-auriculares-impreso-en-3d-los-gordos-pop-_JM
MLA1978602386,"Auricular Bluetooth Heibas G7, Monoaural, Liviano, Color Neg",82541.72,ARS,new,100,2153421531,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1978602386-auricular-bluetooth-heibas-g7-monoaural-liviano-color-neg-_JM
MLA1379543741,Auriculares Bluetooth LG Tone Free Hbs-fn4 Originales,438299,ARS,new,100,568588035,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1379543741-auriculares-bluetooth-lg-tone-free-hbs-fn4-originales-_JM
MLA870262180,Auriculares In Ear True Wireless LG Tone Free Hbs-fn4 Negro ,607319,ARS,new,4,161008662,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-870262180-auriculares-in-ear-true-wireless-lg-tone-free-hbs-fn4-negro-_JM
MLA783328557,Auriculares 100% Original Baseus Encok H06 3.5mm In-ear Para Samsung Huawei Xiaomi LG Moto,34999.01,ARS,new,164,129647735,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-783328557-auriculares-100-original-baseus-encok-h06-35mm-in-ear-para-samsung-huawei-xiaomi-lg-moto-_JM
MLA1265721868,Parlante Auricular Interno Compatible Con LG K10 2017 M50ar,1993.29,ARS,new,101,82531179,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1265721868-parlante-auricular-interno-compatible-con-lg-k10-2017-m50ar-_JM
MLA1504504686,Audífonos Inalámbricos LG Tone Free Fit Tf7 Bluetooth,522099,ARS,new,100,568588035,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1504504686-audifonos-inalambricos-lg-tone-free-fit-tf7-bluetooth-_JM
MLA1866839968,Vekeff Almohadillas De Repuesto G733 Funda De Cojín Con Para,95699,ARS,new,100,1344922108,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1866839968-vekeff-almohadillas-de-repuesto-g733-funda-de-cojin-con-para-_JM
MLA1390231539,LG Tone Free Fn5w Auriculares Bluetooth Inalámbricos Con Con Color Negro,481999,ARS,new,100,568588035,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1390231539-lg-tone-free-fn5w-auriculares-bluetooth-inalambricos-con-con-color-negro-_JM
